gemeente,inwoners,capaciteitKVA,gasaansluitingen,provincie,mercator/x,mercator/y,lngLat/lat,lngLat/lng,percentageGroeneEnergie/2010,percentageGroeneEnergie/2011,percentageGroeneEnergie/2012,percentageGroeneEnergie/2013,percentageGroeneEnergie/2014,percentageGroeneEnergie/2015,percentageGroeneEnergie/2016,percentageGroeneEnergie/2017,percentageGroeneEnergie/2018
Zaanstad,156680,176570,67969,Noord-Holland,531415.151,6851453.136,52.4689235,4.7737835,"2,0","2,4","2,3",?,?,"2,6","2,4","2,7","3,2"
Drechterland,19690,35520,8468,Noord-Holland,577231.575,6885572.044,52.6557052,5.1853595,"2,2","2,7","3,0","3,6","4,6","4,9","4,8","5,0","5,9"
Stede Broec,21705,26150,9374,Noord-Holland,581754.58,6893188.51,52.6972919,5.2259903,"2,3","2,6","2,5",?,?,"3,0","3,1","3,4","4,2"
Hillegom,20170,37120,9222,Zuid-Holland,510228.11,6819318.906,52.2922753,4.5834571,"1,9","2,1","2,0","2,0","2,2","2,2","2,3","2,6","3,7"
Katwijk,65665,100140,27037,Zuid-Holland,489450.069,6801968.917,52.1966035,4.3968048,"1,5","1,7","2,1","1,9","2,3","2,1","2,1","2,6","3,4"
Leiden,125000,179410,49615,Zuid-Holland,498981.502,6795316.297,52.1598645,4.4824271,"1,9","2,1","1,9","2,0","2,3","2,0","2,2","2,5","3,2"
Leiderdorp,27020,38420,11751,Zuid-Holland,504732.846,6795665.766,52.1617952,4.5340923,"2,1","2,5","2,3","2,4","2,6","2,4","2,3","2,6","3,8"
Noordwijk,26590,52840,11733,Zuid-Holland,494948.375,6810031.022,52.2410856,4.4461969,"1,8","2,1","2,0","2,0","2,2","2,1","2,2","2,5","3,3"
Oegstgeest,24820,34820,9366,Zuid-Holland,498030.667,6799945.596,52.185433,4.4738856,"2,4","2,7","2,4","2,5","2,8","2,7","3,4","3,7","4,6"
Voorschoten,25570,29800,11064,Zuid-Holland,494990.209,6789464.649,52.1275236,4.4465727,"2,4","2,6","2,5","2,4","2,7","2,7","2,7","2,8","3,4"
Wassenaar,26275,50040,11644,Zuid-Holland,489941.836,6792187.989,52.1425779,4.4012224,"2,1","2,4","2,2","2,2","2,5","2,5","2,3","2,5","3,2"
Zoeterwoude,8560,22965,3657,Zuid-Holland,501322.819,6787595.725,52.1171894,4.5034595,"2,3","2,7",?,?,?,"3,6","9,0",?,?
West Maas en Waal,19300,40235,8156,Gelderland,612076.834,6739819.006,51.8521914,5.4983797,"6,4","6,9",?,?,?,?,"7,6","7,9","8,9"
Waterland,17380,29210,7773,Noord-Holland,563066.21,6846821.713,52.4435074,5.0581098,"2,4","2,9","5,1","5,3","5,9","5,8","5,3","5,6","6,6"
Wormerland,16240,21935,7229,Noord-Holland,540939.576,6858132.517,52.5055522,4.8593429,"2,0","2,5","2,4","2,4","2,5","2,4","2,2","2,5","3,5"
Lelystad,1720,2980,1688,Flevoland,609684.773,6859873.571,52.5150949,5.4768915,"12,3",?,"17,3","18,3","17,7","18,1","16,8","18,8","20,9"
Oude IJsselstreek,39330,63180,17251,Gelderland,711526.721,6748903.354,51.9026999,6.3917533,"2,4","3,2","5,1","5,0","7,7","6,5","6,6","8,0","9,6"
Teylingen,6390,15500,2623,Zuid-Holland,502205.996,6805736.006,52.2173937,4.5113932,"1,8","2,3","2,3","2,4","2,7","2,8","2,8","3,2","4,5"
Oost Gelre,29600,55800,13079,Gelderland,730368.329,6769192.911,52.0153031,6.5610103,"2,1","2,6","6,5","5,4","11,4","7,9","8,6","9,7","11,8"
Koggenland,1260,6545,631,Noord-Holland,551289.932,6884085.031,52.6475813,4.9523217,"5,0","6,0","5,9","6,3","7,1","6,9","6,4",?,"7,4"
Lingewaard,46665,66520,20012,Gelderland,661679.951,6749755.281,51.9074337,5.9439721,"2,1",?,"5,3","4,9","7,9","5,5","5,1","5,2","5,4"
Overbetuwe,9215,18390,5872,Gelderland,644103.652,6752370.349,51.9219612,5.7860815,"2,1","2,8","3,2","3,2","4,2","3,1","3,1","3,5","4,8"
